Bird,Species,Mass (g),Location,VO2 (mL/hour),VO2 (W),Mechanical Power (W),Efficiency (%),Wing Loading (N/m^2),Stroke Amplitude (deg),Wingbeat Frequency (Hz),Wing Length Single Wing (mm),Wing Area (mm^2),Aspect Ratio
Amazilia_fimbriata_21,Amazilia fimbriata,5.76,"Ubatuba, Brazil",146.01,0.8558,0.1416,18.39,30.67,167.74,28.75,56.02,1852.91,6.82
Amazilia_fimbriata_22,Amazilia fimbriata,6.16,"Ubatuba, Brazil",182,1.0667,0.1477,15.39,27.88,160.1,26.76,61.47,2165.74,6.98
Black_jacobin_01,Florisuga fusca,9.34,"Santa Virginia, Brazil",220.57,1.2928,0.2374,20.41,25.86,142.55,23.8,84.14,3540.04,8
Black_jacobin_02,Florisuga fusca,8.17,"Santa Santa Virginia, Brazil, Brazil",191.22,1.1208,0.2124,21.06,25.39,138.21,26,78.07,3152.64,7.73
Black_jacobin_03,Florisuga fusca,7.58,"Santa Santa Virginia, Brazil, Brazil",172.85,1.0131,0.1998,21.91,19.45,134.88,24.99,84.07,3818.93,7.4
Black_jacobin_04,Florisuga fusca,8.48,"Santa Santa Virginia, Brazil, Brazil",229.05,1.3425,0.2267,18.76,23.55,131.16,26.51,83.54,3529.51,7.91
Black_jacobin_05,Florisuga fusca,8.5,"Ubatuba, Brazil",205.67,1.2055,0.2175,20.04,28.57,150.26,25.19,73.28,2918.15,7.37
Black_jacobin_06,Florisuga fusca,8.12,"Ubatuba, Brazil",223.43,1.3096,0.1997,16.95,20.95,139.67,22.91,87.85,3799.25,8.13
Black_jacobin_07,Florisuga fusca,8.23,"Ubatuba, Brazil",238.47,1.3977,0.2099,16.69,23.73,137.5,25.3,84.03,3399.13,8.31
Black_jacobin_08,Florisuga fusca,7.14,"Ubatuba, Brazil",196.3,1.1505,0.1764,17.04,20.15,139.33,24.62,82.21,3470.51,7.79
Brazilian_ruby_02,Clytolaema rubricauda,8.68,"Santa Santa Virginia, Brazil, Brazil",264.27,1.5489,0.2254,16.17,29.3,153.96,25.64,75.58,2904.96,7.87
Brazilian_ruby_03,Clytolaema rubricauda,8.75,"Santa Santa Virginia, Brazil, Brazil",284.04,1.6648,0.2512,16.76,40.15,145.1,25.56,61.7,2136.36,7.13
