Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
A2m,1423648.75,130615.34375,195828.484375,0.0,51609.484375,363423.03125,250644.0,675768.5625,371877.3125,584944.0,376910.875,214160.171875,1062540.375,437038.03125,1500124.375,452339.96875
Aacs,935790.875,896977.5,1087918.625,1359793.125,529144.0625,877834.125,576701.5,728024.75,791708.1875,702068.25,867490.0,872263.25,442822.9375,650649.625,600731.625,595542.375
Aagab,11780.6025390625,7404.181640625,0.0,0.0,7128.56982421875,10024.212890625,6801.0869140625,7771.33447265625,10444.2197265625,12185.80078125,8596.5625,8219.890625,11957.5732421875,6571.6201171875,10468.45703125,8910.9833984375
Aak1,156724.015625,202251.578125,175184.546875,173034.765625,123887.484375,177706.625,179241.890625,169990.96875,171099.546875,159308.703125,186864.296875,178942.21875,179415.734375,153989.71875,157080.25,165917.890625
Aamdc,72969.0390625,70018.5703125,97062.6875,0.0,0.0,134826.203125,94911.8515625,92502.1640625,109342.7109375,92408.3984375,107642.59375,82761.75,131217.234375,96185.90625,107731.828125,121360.2734375
Aars1,412125.1875,390847.0,389630.8125,577692.125,331271.125,357945.75,358663.15625,352450.90625,482586.4375,474940.9375,501232.75,461648.40625,391247.625,418588.6875,401212.34375,411203.8125
Aars2,82873.3203125,37015.25,42251.6484375,38803.14453125,44281.17578125,62790.50390625,40177.9765625,48048.24609375,27498.224609375,23778.390625,29016.765625,37780.8125,42228.35546875,28665.125,25497.580078125,33756.4453125
Aarsd1,385245.3125,354151.78125,389892.46875,371056.84375,292336.90625,360810.71875,274888.8125,318412.4375,304626.15625,291337.34375,275509.25,282423.125,269427.21875,267000.3125,262518.4375,297587.6875
Aasdhppt,42076.19921875,0.0,23241.65625,31934.69921875,15040.0166015625,49015.5,32136.158203125,38619.2578125,31722.1328125,33775.57421875,19950.138671875,25868.962890625,28196.98828125,22934.478515625,29058.85546875,22285.37109375
Aass,1094260.375,782049.625,854900.375,1585841.5,814459.75,1048956.25,936556.25,1034776.0,464404.25,418677.0,465720.71875,495451.34375,398237.9375,476678.21875,380133.5625,382202.03125
Abat,176197.484375,132890.421875,149072.515625,75556.609375,205095.359375,116136.0546875,196542.875,177763.984375,127331.6640625,153265.78125,133465.046875,107586.5,140584.5625,70007.390625,104880.671875,100816.3515625
Abca3,398103.15625,486606.59375,428293.84375,521495.21875,581943.1875,305894.15625,643918.375,556051.75,331043.0625,297810.09375,291084.875,480426.21875,452711.71875,471503.71875,345371.0,445291.28125
Abcb10,0.0,0.0,9645.7568359375,33034.0703125,237497.640625,10630.5458984375,0.0,15644.9853515625,23271.9296875,13972.771484375,18345.734375,54484.15234375,18132.59765625,21351.23046875,15181.322265625,20513.572265625
Abcb7,24262.8046875,27893.21484375,38622.7421875,52859.32421875,165868.078125,20278.58203125,71798.625,40916.05859375,35189.29296875,35124.85546875,27713.22265625,64940.87109375,66928.8671875,55672.15234375,27646.67578125,38601.1875
Abcc1,21197.287109375,37752.8671875,29666.3046875,35939.2109375,274765.875,31454.802734375,89977.3828125,26864.681640625,40901.5,51837.3203125,29277.013671875,72707.90625,111432.015625,90259.15625,72953.9453125,70937.203125
Abcc3,101850.8984375,49671.16796875,37834.2734375,58299.04296875,266953.84375,19762.197265625,69576.3671875,29989.0234375,34802.12890625,29972.0703125,19097.677734375,47443.08984375,53446.421875,50588.91796875,14114.759765625,24471.12890625
Abcc4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10928.384765625,0.0,0.0,15919.5185546875,0.0,5790.55615234375,0.0,0.0
Abcd1,0.0,40397.7109375,39137.484375,71346.5859375,133638.421875,53970.37109375,85841.90625,51184.03515625,45407.56640625,29947.8046875,59810.12890625,63818.00390625,21628.763671875,69762.3984375,36817.3359375,19334.046875
Abcd3,93947.8984375,242866.6875,202711.515625,326246.46875,347016.71875,167298.625,234872.71875,188620.203125,275813.90625,291455.09375,160137.15625,486719.84375,179176.6875,326262.40625,121933.8828125,151678.59375
Abce1,796577.5,668348.4375,580728.4375,788956.25,683530.9375,616790.0625,589370.0,731482.6875,654386.1875,681644.375,626688.0,643047.6875,620029.6875,609680.5625,707123.4375,661727.0
Abcf1,306891.0,263947.03125,279994.84375,315626.125,222247.046875,249651.28125,256701.71875,267464.375,296495.15625,313219.09375,349466.6875,305306.0625,332982.65625,269362.5,275391.875,322215.15625
Abcf2,161243.171875,69419.8828125,161664.609375,199533.25,14095.8798828125,106865.4453125,136663.890625,114585.203125,126025.6171875,134789.984375,142406.15625,110936.875,136741.71875,102157.7265625,123014.3125,117532.390625
Abcf3,64949.37890625,55121.4140625,67829.921875,42030.5390625,55869.00390625,59192.02734375,55575.22265625,50200.546875,54505.08984375,60718.18359375,59273.9296875,66316.234375,50654.5,55684.4140625,67077.4140625,57918.84765625
Abhd10,255052.75,139224.25,167469.71875,184643.484375,173658.90625,224394.921875,202454.21875,197701.28125,176779.28125,248615.078125,208209.609375,195736.1875,245757.421875,254745.609375,205537.875,286682.53125
Abhd11,643367.25,658249.4375,783437.0,992789.75,757348.375,1000451.0,747513.0,834596.9375,748420.625,604442.25,823960.5625,660049.5625,647972.5625,698803.75,618412.875,805262.75
Abhd12,65153.32421875,70205.65625,54483.921875,49814.9296875,137459.015625,48525.02734375,86386.390625,60686.48828125,79656.421875,90004.9921875,63331.1796875,92839.2890625,164633.546875,159018.046875,58757.71484375,70641.8203125
Abhd13,27422.123046875,10050.587890625,21365.75390625,0.0,0.0,13979.06640625,18547.974609375,17219.015625,19444.38671875,23065.048828125,14657.3740234375,22990.09765625,25462.90625,30452.8984375,18390.71484375,22622.314453125
Abhd14b,5133063.5,3481203.0,4483931.0,1890564.5,3480385.75,3028158.25,3284688.75,3441477.75,2813109.0,3454955.25,3119471.75,2563299.75,3082535.25,2349372.25,2155401.75,3088120.5
Abhd16a,134050.109375,207623.03125,137615.875,186620.703125,518697.46875,90264.1953125,184218.53125,124897.171875,115317.6875,172543.484375,98138.46875,161975.75,168997.90625,136270.8125,111862.609375,115385.3203125
Abhd17b,0.0,10173.9130859375,0.0,0.0,189674.90625,36569.71875,114930.96875,82164.6015625,65696.09375,58956.4296875,59391.38671875,87010.1328125,98221.4296875,103870.8671875,66181.4140625,85608.4296875
Abhd2,0.0,0.0,1043.3896484375,0.0,0.0,8972.05078125,2626.736328125,5001.1279296875,2966.93139648437,7161.78515625,2464.67749023437,0.0,0.0,4363.8251953125,1399.27221679687,0.0
Abhd3,96517.0546875,94806.890625,33976.421875,12062.0634765625,144975.71875,32795.42578125,61555.859375,46889.46875,47376.05859375,59009.48046875,32145.59375,38506.109375,78247.4609375,61079.21875,81707.7578125,65422.46484375
Abhd4,134840.0625,128077.046875,113059.8984375,94533.875,96322.2578125,76875.1328125,75573.1328125,85628.265625,87255.21875,116849.6171875,101115.6171875,88702.0546875,77727.6640625,84218.59375,79602.296875,78740.296875
